date,count
2013-12-12,5522
2013-01-03,5519
2013-02-04,5519
2013-02-11,5515
2013-04-14,5479
2013-06-16,5478
2013-12-17,5464
2012-10-24,5463
2013-02-19,5461
2013-11-25,5455
2013-11-02,5454
2012-12-16,5454
2012-11-10,5443
2012-11-03,5428
2013-12-10,5424
2013-03-24,5413
2013-10-05,5391
2013-02-18,5376
2013-02-16,5368
2013-01-26,5362
2013-12-02,5305
2013-12-09,5298
2012-11-18,5293
2013-07-06,5288
2012-10-29,5279
2013-03-17,5272
2012-10-18,5268
2013-08-18,5253
2013-06-23,5250
2013-11-16,5247
2013-08-11,5246
2012-10-23,5243
2013-09-15,5233
2013-05-26,5220
2012-10-12,5200
2013-12-07,5195
2013-04-07,5186
2013-02-23,5183
2012-11-23,5178
2012-12-28,5177
2013-12-16,5177
2013-06-30,5169
2013-01-05,5160
2013-01-02,5151
2012-12-09,5149
2012-12-24,5140
2013-08-31,5134
2013-12-23,5133
2012-10-22,5129
2013-10-19,5127
2012-10-27,5125
2012-10-17,5115
2013-03-10,5110
2013-07-28,5099
2013-07-14,5088
2012-12-02,5085
2013-07-21,5065
2013-11-09,5056
2012-10-16,5048
2012-12-23,5027
2013-08-04,5027
2013-08-25,5011
2013-09-29,5010
2013-09-22,5000
2013-11-23,4993
2013-07-07,4992
2013-01-28,4964
2012-11-24,4953
2013-01-21,4939
2012-11-11,4901
2013-09-08,4898
2013-12-21,4895
2013-02-10,4893
2013-01-13,4893
2012-12-31,4882
2013-10-20,4823
2013-09-01,4793
2013-10-06,4738
2013-10-27,4730
2013-01-20,4718
2012-10-11,4704
2013-03-03,4679
2013-10-13,4664
2013-11-10,4660
2013-02-03,4652
2013-11-03,4629
2013-01-27,4621
2013-07-04,4620
2012-11-25,4616
2013-02-24,4602
2013-02-27,4601
2012-12-27,4574
2012-12-29,4559
2012-10-15,4521
2013-05-27,4508
2012-10-10,4495
2013-09-02,4467
2013-01-06,4465
2012-10-05,4454
2013-12-24,4434
2012-09-28,4370
2012-10-20,4359
2012-10-04,4347
2013-02-17,4347
2012-10-09,4338
2012-11-04,4296
2012-10-08,4295
2013-11-29,4292
2012-10-28,4261
2013-11-17,4242
2014-03-21,4242
2012-10-03,4241
2012-10-21,4231
2012-10-06,4206
2013-12-08,4192
2013-11-24,4192
2014-03-14,4186
2012-10-02,4182
2014-04-16,4164
2014-04-04,4160
2013-12-30,4158
2013-12-01,4153
2012-10-13,4152
2014-03-18,4126
2013-12-27,4121
2014-03-19,4093
2012-12-30,4091
2013-03-31,4082
2014-03-28,4071
2012-12-26,4070
2014-04-17,4069
2014-05-02,4062
2014-03-25,4039
2013-12-14,4025
2014-04-01,4014
2014-04-18,4006
2014-04-02,3996
2012-09-29,3991
2014-03-07,3967
2014-03-27,3962
2014-03-11,3961
2012-10-01,3959
2014-03-20,3952
2014-05-01,3925
2014-04-15,3907
2014-03-26,3898
2013-11-30,3889
2014-04-23,3869
2014-04-03,3862
2014-04-25,3855
2014-04-30,3837
2014-05-09,3829
2014-05-07,3813
2014-04-22,3802
2014-05-06,3802
2014-04-14,3795
